Ion Type (Normalized),Structure Type (raw),Structure Group (Canonical),Doping / and or GB Strategy,superionic conductor Formula (Chemical),Conductivity σ (S·cm⁻¹),Temperature (°C),Structure Group (Normalized),Structure Family (Grouped)
Li+,Argyrodite,Argyrodite,–,Li6PS5Br,0.0014,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,Li6PS5Cl,0.001,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,Li6PS5Cl (This work-1),0.00311,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,"Li6PS5Cl (This work-2, scale-up)",0.00571,,Argyrodite,Argyrodite
Li+,Argyrodite,Argyrodite,–,Li6PS5I,0.00096,,Argyrodite,Argyrodite
Li+,Argyrodite (BH4-substituted),Argyrodite,–,Li3PS4·2.5LiBH4 (x=0),0.0106,,Argyrodite,Argyrodite
Li+,Argyrodite (BH4/Cl mixed),Argyrodite,Co-substitution (0.5Cl),Li3PS4·2LiBH4·0.5LiCl (x=0.5),0.0148,,Argyrodite,Argyrodite
Li+,"Argyrodite (core–shell, oxidized shell)",Argyrodite,"Surface oxidation via KMnO4 (200 °C, 1 h)",O-LiPSClBr (surface-oxidized),0.00815,,Argyrodite,Argyrodite
Li+,"Argyrodite (core–shell, oxidized shell, small particle)",Argyrodite,Surface oxidation,"O-LiPSClBr_s (oxidized, small particle)",0.00249,,Argyrodite,Argyrodite
Li+,"Argyrodite (cubic, F-43m)",Argyrodite,Cl-rich substitution (anion disorder),Li5.5PS4.5Cl1.5 (LPSCl1.5),0.0078,,Argyrodite,Argyrodite
Li+,Argyrodite (halide-excess),Argyrodite,Reduced particle size,"LiPSClBr_s (small particle, D50=3.6 µm)",0.00529,,Argyrodite,Argyrodite
Li+,Argyrodite (halide-excess),Argyrodite,–,"Li5.4PS4.4Cl0.6Br1.0 (LiPSClBr, pristine)",0.0108,,Argyrodite,Argyrodite
Li+,Argyrodite (reduced phase fraction),Argyrodite,Co-substitution,Li3PS4·0.5LiBH4·2LiCl (x=2),0.0024,,Argyrodite,Argyrodite
Li+,Argyrodite (sulfide),Argyrodite,–,"Li6PS5Cl (LPSC-P, pristine)",0.0013,,Argyrodite,Argyrodite
Li+,Argyrodite (thioarsenate),Argyrodite,Br substitution (x=0.3),Li5.7AsS4.7Br1.3,0.01,,Argyrodite,Argyrodite
Li+,Argyrodite (thioarsenate),Argyrodite,Br substitution (x=0.5),Li5.5AsS4.5Br1.5,0.0154,,Argyrodite,Argyrodite
Li+,Argyrodite (thioarsenate),Argyrodite,–,Li6AsS5Br,0.002,,Argyrodite,Argyrodite
Li+,Bicontinuous polymer nanostructure,Polymer,–,PVDF-g-PAN + 34 wt% LiTFSI,0.00058,,Bicontinuous Polymer nanostructure,Polymer
Li+,Ceramic oxide (LMTO),Oxide,–,LMTO ceramic (filler alone),,,Ceramic oxide,Oxide
Li+,Defect spinel (Fd3̅m) above 315 K,Spinel,–,LiInBr4,315.0,,Defect spinel  above 315 K,Spinel
Li+,Disordered rocksalt,Rock-Salt,Li deficiency,ns-LISO (near-stoichiometric DRX),3.32e-08,,Disordered rocksalt,Rock-salt
Li+,Glass-ceramic,Ceramic,–,Li7P3S11 (crystalline),0.0635,,Glass-ceramic,Ceramic
Li+,Halide (Li–In–Cl),Halide,–,Li3InCl6 (water-mediated synthesis),0.00204,,Halide,Halide
Li+,Halide (defect-rich),Halide,Anion engineering: F- + O2- co-substitution in Li3ZrCl6,Li2.5ZrCl5F0.5O0.5 (LZCFO),0.00117,,Halide,Halide
Li+,Halide (hcp),Halide,Fully ordered cation framework,Li2ZrCl6 (ordered),0.0002,,Halide,Halide
Li+,Halide (hcp),Halide,Partial substitution Y3+→Zr4+,Li3Y0.2Zr0.6Cl6,0.0012,,Halide,Halide
Li+,Halide (hcp),Halide,Partially disordered Zr sublattice,Li2ZrCl6 (disordered Zr),0.0011,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3InCl6,0.002,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3ScCl6,0.0034,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3YCl6 (mechanochemical),0.0018,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3YCl6 (solid-state synthesis),0.00065,,Halide,Halide
Li+,Halide (hcp),Halide,–,Li3ZrCl6 (reference),0.00062,,Halide,Halide
Li+,Halide (hcp-O),Halide,–,Li3YBr6,0.0024,,Halide,Halide
Li+,Halide (hcp-O/hcp-T mixed),Halide,Br- partial substitution,Li3YCl6-xBrx (x=1.5),0.0031,,Halide,Halide
Li+,Halide (hcp-T),Halide,In3+ partial substitution,Li3Ho0.6In0.4Cl6,0.0013,,Halide,Halide
Li+,Halide (hcp-T),Halide,–,Li3HoCl6,0.00042,,Halide,Halide
Li+,Halide (hcp-T),Halide,–,Li3YCl6,0.0017,,Halide,Halide
Li+,"Halide (orthorhombic, high stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr4I2 (x=2),0.0012,,Halide,Halide
Li+,"Halide (orthorhombic, maximum stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr3I3 (x=3),0.0017,,Halide,Halide
Li+,"Halide (orthorhombic, more stacking faults)",Halide,Partial substitution Br-→I-,Li3HoBr5I (x=1),0.00068,,Halide,Halide
Li+,"Halide (orthorhombic, stacking faulted)",Halide,–,Li3HoBr6 (x=0),0.00032,,Halide,Halide
Li+,"Halide, UCl3-type (non-close-packed)",Halide,–,Li-UCl3 (LiCl–LaCl3–0.5TaCl5),0.00239,,"Halide, UCl3-type",Halide
Li+,"Halide, monoclinic (after heat treatment)",Halide,High-level Hf4+ substitution,Li2.5Yb0.5Hf0.5Cl6,0.0014,,"Halide, monoclinic",Halide
Li+,"Halide, monoclinic (after heat treatment)",Halide,High-level Zr4+ substitution,Li2.5Yb0.5Zr0.5Cl6,0.0015,,"Halide, monoclinic",Halide
Li+,"Halide, non-close-packed",Halide,–,LiGaCl3 (predicted),0.00339,,"Halide, non-close-packed",Halide
Li+,"Halide, trigonal",Halide,Partial substitution Yb3+→Hf4+,Li2.8Yb0.8Hf0.2Cl6,0.00087,,"Halide, trigonal",Halide
Li+,"Halide, trigonal",Halide,–,Li3ErCl6,0.00035,,"Halide, trigonal",Halide
Li+,"Halide, trigonal",Halide,–,Li3YbCl6,0.00038,,"Halide, trigonal",Halide
Li+,"Halide, trigonal (P3̅m1)",Halide,–,Li3YCl6,0.0002,,"Halide, trigonal",Halide
Li+,"Halide, trigonal (cation-disordered)",Halide,Partial substitution of Y3+ with Zr4+,Li3Y0.2Zr0.6Cl6,0.00119,,"Halide, trigonal",Halide
Li+,"Halide, trigonal (partially disordered)",Halide,Partial substitution Yb3+→Zr4+,Li2.8Yb0.8Zr0.2Cl6,0.00095,,"Halide, trigonal",Halide
Li+,Highly amorphous oxyhalide (~89.5%),Halide,Partial Cl → O substitution (42.9%),Li3ZrCl4O1.5,0.00135,,Highly Amorphous oxyhalide,Halide
Li+,Inverse spinel halide,Halide,Al3+ doping,Li1.2Mg0.95Al0.3Cl4,0.0003,,Inverse spinel halide,Halide
Li+,Inverse spinel halide,Halide,Zn2+ doping → Li vacancies,Li1.6Zn0.2MgCl4,1.2e-05,,Inverse spinel halide,Halide
Li+,Inverse spinel halide,Halide,Zr4+ doping,Li2Mg1/3Zr1/3Cl4,2.8e-05,,Inverse spinel halide,Halide
Li+,Inverse spinel halide (Fd3̅m),Halide,Zr4+ doping → cation disorder at 16c,Li1.25Zr0.375Mg0.625Cl4 (LZMC1.25),1.4e-05,,Inverse spinel halide,Halide
Li+,Inverse spinel halide (Fd3̅m),Halide,–,"Li2MgCl4 (LMC2, pristine)",9.6e-08,,Inverse spinel halide,Halide
Li+,Layered antiperovskite (I4/mmm),Anti-Perovskite,"Li–Br Schottky defect, vacancy at site I","Li7O2Br3 + Li–Br Schottky defect (Type I, Br vacancy at site I)",0.00031,,Layered antiperovskite,Anti-perovskite
Li+,Layered antiperovskite (I4/mmm),Anti-Perovskite,"Li–Br Schottky defect, vacancy at site II","Li7O2Br3 + Li–Br Schottky defect (Type II, Br vacancy at site II)",0.00076,125.0,Layered antiperovskite,Anti-perovskite
Li+,Layered antiperovskite (I4/mmm),Anti-Perovskite,–,Li7O2Br3 (defect-free),0.0,25.0,Layered antiperovskite,Anti-perovskite
Li+,"Monoclinic (C2/m), defect rock-salt type in superionic phase",Rock-Salt,–,Li3InBr6,0.004,,"Monoclinic , defect rock-salt type in superionic phase",Rock-salt
Li+,Monoclinic halide,Halide,–,LiAlCl4,3.85,,Monoclinic halide,Halide
Li+,Monoclinic halide,Halide,–,LiScCl4,8.34,,Monoclinic halide,Halide
Li+,Monoclinic halide,Halide,–,LiSmCl4,0.69,,Monoclinic halide,Halide
Li+,Monoclinic halide,Halide,–,LiYCl4,,,Monoclinic halide,Halide
Li+,NASICON,NASICON,–,Li1.3Al0.3Ti1.7(PO4)3 (LATP),0.00019,,NASICON,NASICON
Li+,Non-argyrodite (residual LiCl),Argyrodite,–,Li3PS4·2.5LiCl (x=2.5),0.0004,,Non-argyrodite,Argyrodite
Li+,Orthorhombic,Ortho,–,Li3SbS4 (glass-ceramic),0.00025,,Orthorhombic,Orthorhombic
Li+,Orthorhombic,Ortho,–,β-Li3PS4,0.00034,,Orthorhombic,Orthorhombic
Li+,Over-stoichiometric rocksalt (o-DRX),Rock-Salt,Li over-stoichiometry,Li17In9SnO24 (o-LISO),0.000338,,Over-stoichiometric rocksalt,Rock-salt
Li+,Oxyhalide (~69% amorphous),Halide,Partial Cl → O substitution (33.3%),Li2ZrCl4O,0.0002,,Oxyhalide,Halide
Li+,Partially crystalline,Partially crystalline,Excess Br doping,Li3PS2.5Br1.5 (x=1.5),0.0007,,Partially crystalline,Partially crystalline
Li+,Polymer (PVDF),Polymer,Molecular doping with PVDC (high) + SN + LiTFSI,md-PVDF-HD (3:7 PVDC:PVDF),0.002,,Polymer,Polymer
Li+,Polymer (PVDF),Polymer,Molecular doping with PVDC (low) + SN + LiTFSI,md-PVDF-LD (10 wt% PVDC:90 wt% PVDF),30.0,,Polymer,Polymer
Li+,Polymer (PVDF),Polymer,Molecular doping with PVDC (moderate) + SN + LiTFSI,md-PVDF (2:8 PVDC:PVDF),0.0014,,Polymer,Polymer
Li+,Polymer (PVDF),Polymer,–,PVDF (control),7.6e-05,,Polymer,Polymer
Li+,Polymer electrolyte (PEO-based),Polymer,–,"Polymer electrolyte (control, no filler)",1e-06,,Polymer electrolyte,Polymer
Li+,Polymer–ceramic composite,Polymer,LMTO nanorods (passive filler),Polymer + LMTO nanorods (composite),1e-05,,Polymer–ceramic composite,Polymer
Li+,Rock-salt halide,Halide,–,Li3AlCl6,158.0,,Rock-salt halide,Halide
Li+,Rock-salt halide,Halide,–,Li3ScCl6,1.06,,Rock-salt halide,Halide
Li+,Rock-salt halide,Halide,–,Li3SmCl6,,,Rock-salt halide,Halide
Li+,Rock-salt halide,Halide,–,Li3YCl6,0.001,,Rock-salt halide,Halide
Li+,Spinel,Spinel,Fe doping at Mn site,LiMn1.5Fe0.5S4,0.0205,,Spinel,Spinel
Li+,Spinel,Spinel,Mo doping at Mn site,LiMn1.5Mo0.5O4,0.0138,,Spinel,Spinel
Li+,Spinel,Spinel,Ru doping at Mn site,LiMn1.5Ru0.5S4,0.0165,,Spinel,Spinel
Li+,Spinel,Spinel,Ta doping at Mn site,LiMn1.5Ta0.5O4,0.0121,,Spinel,Spinel
Li+,Spinel,Spinel,Tb doping at Mn site,LiMn1.5Tb0.5S4,0.0143,,Spinel,Spinel
Li+,Spinel,Spinel,V doping at Mn site,LiMn1.5V0.5S4,0.0111,,Spinel,Spinel
Li+,Spinel,Spinel,–,LiTb2S4,0.0128,,Spinel,Spinel
Li+,Spinel,Spinel,–,LiTi2S4,0.0103,,Spinel,Spinel
Li+,Spinel halide,Halide,–,Li2Al2/3Cl4,,,Spinel halide,Halide
Li+,Spinel halide,Halide,–,Li2Sc2/3Cl4,1.0,,Spinel halide,Halide
Li+,Spinel halide,Halide,–,Li2Sm2/3Cl4,15.3,,Spinel halide,Halide
Li+,Spinel halide,Halide,–,Li2Y2/3Cl4,1000.0,,Spinel halide,Halide
Li+,Sulfide (LGPS-type),Sulfide,Br- substitution,Li9.9SnP2S11.9Br0.1 (pristine),0.00588,,Sulfide,Sulfide
Li+,Sulfide (O-doped),Sulfide,O substitution (0.5),Li9.9SnP2S11.4Br0.1O0.5,0.00422,,Sulfide,Sulfide
Li+,Sulfide (O-doped),Sulfide,O substitution (1.0),Li9.9SnP2S10.9Br0.1O1.0,0.00408,,Sulfide,Sulfide
Li+,Sulfide (O-doped),Sulfide,O substitution (1.5),Li9.9SnP2S10.4Br0.1O1.5,0.0027,,Sulfide,Sulfide
Li+,"Sulfide (O-doped, high O)",Sulfide,O substitution (2.0),Li9.9SnP2S9.9Br0.1O2.0,0.00178,,Sulfide,Sulfide
Li+,"Trigonal (hcp, ~46% amorphous)",Trigonal,–,Li2ZrCl6,0.0001,,Trigonal,Trigonal
Li+,α-phase,Phase polymorph,–,α-Li3PS4 (crystalline),0.0149,,α-phase,Phase polymorph
Li+,β-phase,Phase polymorph,–,β-Li3PS4 (crystalline),0.00231,,β-phase,Phase polymorph
Mg2+,Spinel,Spinel,Anion substitution (Se → Br),Mg0.75Sc2Se3.5Br0.5,2.4,,Spinel,Spinel
Mg2+,Spinel,Spinel,"Multicationic substitution (Sc, Y, Er, Tm, Yb)",MgSc0.4Y0.4Er0.4Tm0.4Yb0.4Se4,2.4,,Spinel,Spinel
Mg2+,Spinel,Spinel,–,MgYb2Se4,0.00014,,Spinel,Spinel
Na+,Amorphous,Amorphous,–,Na3PS4 (amorphous),4.1e-06,,Amorphous,Amorphous
Na+,Amorphous (S1),Amorphous,–,Na3PS4 (S1 amorphous),,,Amorphous,Amorphous
Na+,Amorphous (S2),Amorphous,–,Na3PS4 (S2 amorphous),,,Amorphous,Amorphous
Na+,Amorphous (S3),Amorphous,–,Na3PS4 (S3 amorphous),,,Amorphous,Amorphous
Na+,Amorphous (S4),Amorphous,–,Na3PS4 (S4 amorphous),,,Amorphous,Amorphous
Na+,Amorphous chloride–oxide,Amorphous,Na2O incorporation,AlCl3–0.50Na2O,8e-05,,Amorphous chloride–oxide,Amorphous
Na+,Amorphous chloride–oxide,Amorphous,Na2O incorporation,AlCl3–0.60Na2O,0.00012,,Amorphous chloride–oxide,Amorphous
Na+,Amorphous chloride–oxide,Amorphous,Na2O incorporation,AlCl3–0.75Na2O,0.00017,,Amorphous chloride–oxide,Amorphous
Na+,Amorphous chloride–oxide,Amorphous,Na2O incorporation,AlCl3–0.80Na2O,0.0001,,Amorphous chloride–oxide,Amorphous
Na+,Amorphous chloride–oxide,Amorphous,Na2O incorporation,AlCl3–0.85Na2O,6e-05,,Amorphous chloride–oxide,Amorphous
Na+,Amorphous halide,Amorphous,F substitution,Na0.5ZrCl4F0.5,0.000112,,Amorphous halide,Amorphous
Na+,Amorphous halide,Amorphous,–,NaTaCl6 (amorphous),0.004,,Amorphous halide,Amorphous
Na+,Amorphous oxysulfide,Amorphous,Na2SO3 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na2SO3,1.2e-05,,Amorphous oxysulfide,Amorphous
Na+,Amorphous oxysulfide,Amorphous,Na2SO4 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na2SO4,1.6e-05,,Amorphous oxysulfide,Amorphous
Na+,Amorphous oxysulfide,Amorphous,Na3PO4 additive (5 mol%),95(0.75Na2S·0.25P2S5)·5Na3PO4,1.1e-05,,Amorphous oxysulfide,Amorphous
Na+,Amorphous–nanocrystalline halide,Amorphous,F substitution,"0.5-NFZC (NaF–ZrCl4, x=0.5)",,,Amorphous–nanocrystalline halide,Amorphous
Na+,Amorphous–nanocrystalline halide,Amorphous,F substitution,1.0-NFZC (x=1.0),,,Amorphous–nanocrystalline halide,Amorphous
Na+,Amorphous–nanocrystalline halide,Amorphous,F substitution,2.0-NFZC (x=2.0),0.000235,,Amorphous–nanocrystalline halide,Amorphous
Na+,Amorphous–nanocrystalline halide,Amorphous,F substitution,3.0-NFZC (x=3.0),,,Amorphous–nanocrystalline halide,Amorphous
Na+,Anti-perovskite,Anti-Perovskite,Vacancy-mediated Na+ diffusion,"Na3OCl (bulk, pristine, cubic)",0.0085,,Anti-perovskite,Anti-perovskite
Na+,"Anti-perovskite (2D, I4/mmm symmetry)",Anti-Perovskite,"Defect engineering: Na interstitial (Nai), Na vacancy (VNa), VO, Oi",Na4OI2,0.014,,Anti-perovskite,Anti-perovskite
Na+,Anti-perovskite (Pm-3m cubic),Anti-Perovskite,–,c-Na3HS (pristine),1e-05,,Anti-perovskite,Anti-perovskite
