"Formula (Chemical)","Battery Type","Anode","Cathode","Ion Type","Structure Type","Doping / and or GB Strategy","Conductivity σ (S·cm⁻¹) / Temp (°C)","Conductivity σ (S·cm⁻¹) / Temp (°C) normalized","Activation Energy Ea (eV)","Retention %","Retention % normalized","Cycle Life (N cycles or hours)","Cycle Life normalized (cycles)","Synthesis Method (3–5 lines)","Reference (with DOI)","_row_id","Structure Group_x","Structure Group_y"
"Na₃V₂(PO₄)₃-coated NFM (NFM@5%NVP)","Na-ion half cell","Na metal","NFM@5%NVP cathode","Na⁺","NASICON","Surface coating with NVP","–","","–","0.896","89.6","500 cycles","500.0","Grinding–mixing method; NVP applied as uniform surface coating on NFM.","[87]","27","NASICON","NASICON"
"Na₃P (NaP5 CSA)","Symmetric solid-state Na cell","NaP5 composite sodium anode","NaP5","Na⁺","–","–","–","","0.192","–","","7000 h @ 0.1 mA cm⁻²; 4000 h @ 0.3 mA cm⁻²","1750.0","Na:RP = 100:5 melt reaction; uniform Na₃P skeleton formed in situ.","[88]","28","Others","Others"
"Na₃P (NaP5 CSA)","Solid-state sodium-metal battery","NaP5 CSA","Na₃V₂(PO₄)₃ (NVP)","Na⁺","NASICON (electrolyte: NZMSP)","–","–","","0.192","0.72","72.0",">15,000 cycles","15000.0","In-situ Na₃P skeleton formed during melt process; integrated with NZMSP SSE and NVP cathode.","[88]","29","NASICON","NASICON"
"Cu₃.₂₁Bi₄.₇₉S₉","Half-cell (Na-ion)","Cu₃.₂₁Bi₄.₇₉S₉ anode","Na metal","Na⁺","Superionic sulfide","–","–","","–","81.6 %","81.6","325.5 mAh g⁻¹ after 4000 cycles @ 45C; 332.7 mAh g⁻¹ after 1500 cycles @ 2 A g⁻¹","325.5","Ball milling + annealing; micron-sized particles; vacancy-rich structure.","[89]","30","Others","Others"
"Cu₃.₂₁Bi₄.₇₉S₉","Full cell (Na-ion)","Cu₃.₂₁Bi₄.₇₉S₉ anode","Na₃V₂(PO₄)₃","Na⁺","NASICON (cathode)","–","–","","–","–","","81 mAh g⁻¹ after 100 cycles (0.01–3.8 V window)","81.0","Cu₃.₂₁Bi₄.₇₉S₉ prepared via ball milling + annealing; assembled with NVP cathode in diglyme electrolyte.","[89]","31","NASICON","NASICON"
"Fe–NiSe₂/CoSe₂@rGO","Li-ion half cell","Fe–NiSe₂/CoSe₂@rGO","–","Li⁺","Metal selenide heterostructure","Fe substitution, Se vacancies, rGO encapsulation","–","","–","–","","1000 cycles: 483.6 mAh g⁻¹ at 5 A g⁻¹; 1048.3 mAh g⁻¹ at 0.1 A g⁻¹ (100 cycles)","1000.0","Hydrothermal synthesis + Fe doping + rGO encapsulation.","[90]","32","Others","Others"
"Fe–NiSe₂/CoSe₂@rGO","Na-ion half cell","Fe–NiSe₂/CoSe₂@rGO","–","Na⁺","Metal selenide heterostructure","Fe substitution, Se vacancies, rGO encapsulation","–","","–","–","","1000 cycles: 325.9 mAh g⁻¹ at 5 A g⁻¹; 687.7 mAh g⁻¹ at 0.1 A g⁻¹ (200 cycles)","1000.0","Hydrothermal synthesis + Fe doping + rGO encapsulation.","[90]","33","Others","Others"
"Fe–NiSe₂/CoSe₂@rGO","Li-ion full cell","Fe–NiSe₂/CoSe₂@rGO","LiFePO₄@rGO","Li⁺","Metal selenide heterostructure","Fe substitution, Se vacancies, rGO encapsulation","–","","–","–","","50 cycles: 518.1 mAh g⁻¹ at 0.1 A g⁻¹; 425 mAh g⁻¹ at 0.5 A g⁻¹","50.0","Fe–NiSe₂/CoSe₂@rGO assembled with LiFePO₄@rGO cathode.","[90]","34","Others","Others"
"Fe–NiSe₂/CoSe₂@rGO","Na-ion full cell","Fe–NiSe₂/CoSe₂@rGO","Na₃V₂(PO₄)₃@rGO","Na⁺","Metal selenide heterostructure","Fe substitution, Se vacancies, rGO encapsulation","–","","–","–","","50 cycles: 471.2 mAh g⁻¹ at 0.1 A g⁻¹; 303.2 mAh g⁻¹ at 0.5 A g⁻¹","50.0","Fe–NiSe₂/CoSe₂@rGO assembled with Na₃V₂(PO₄)₃@rGO cathode.","[90]","35","Others","Others"
"Li1.3Al0.3Ti1.7(PO4)3 (LATP, bare)","Symmetric Li / LATP / Li cell","Li metal","Li metal","Li+","NASICON","–","1.9e-4 / 25","0.00019","0.3","–","","Unstable, failure within ~200 h due to Ti reduction & dendrites","66.6667","Same as Table 1","[101]","36","NASICON","NASICON"
"LATP + 10 nm Al2O3 coating","Symmetric Li / LATP–Al2O3 / Li cell","Li metal","Li metal","Li+","NASICON","Al2O3 protective interfacial layer","1.9e-4 / 25","0.00019","0.3","–","","Stable up to 200 h, suppressed Ti reduction, lower polarization","66.6667","Same as Table 1","[101]","37","NASICON","NASICON"
"LATP + 10 nm Al2O3 + 50 nm Ag coating","Symmetric Li / LATP–Al2O3–Ag / Li cell","Li metal","Li metal","Li+","NASICON","Bilayer: Al2O3 (10 nm) + Ag (50 nm)","1.9e-4 / 25","0.00019","0.3","–","","~200 h stable cycling, no voltage increase, dendrite suppression","66.6667","Same as Table 1","[101]","38","NASICON","NASICON"
"Li2OHCl (pellet)","Symmetric Li","Li metal","Li metal","Li+","Anti-perovskite (orthorhombic/monoclinic)","–","5.4e-3 / 25","0.0054","0.098","–","","Stable after ~80 h (0.05 mA·cm-2, 0.0125 mAh·cm-2)","26.6667","Solid-state reaction of LiCl + LiOH (2:1), sealed & annealed 220–240 °C (3 d); pellet pressing","[113]","39","Anti-perovskite","Anti-perovskite"
"Li2OHCl-g-PSU","Symmetric Li","Li metal","Li metal","Li+","Anti-perovskite/polymer composite","Polysulfone binder (SO groups)","2.2e-4 / 25; 1.35e-2 / 150","0.00022","3.15 (Arrhenius); 2.72 (VTF)","–","","Stable cycling at 60 °C; reduced polarization, smooth interface up to ~80 h","20.0","Drop-cast slurry (Li2OHCl + PSU 3.9:1 wt%) on Cu foil, vacuum dried","[113]","40","Anti-perovskite","Anti-perovskite"
"Li2OHCl-g-PAI","Symmetric Li","Li metal","Li metal","Li+","Anti-perovskite/polymer composite","Polyamide-imide binder (NR groups)","7.3e-6 / 25; 3.47e-3 / 150","7.3e-06","2.42 (Arrhenius); 2.54–1.32 (VTF)","–","","Less stable than PSU; oxidative current 10–14 µA at 2–4 V","10.0","Same slurry-cast method but with PAI binder","[113]","41","Anti-perovskite","Anti-perovskite"
"Li5.5PS4.5Cl1.5","Symmetric Li","Li metal","Li metal","Li+","Argyrodite (cubic)","Cl-rich substitution","7.8e-3 / 25","0.0078","0.23","","",">5000 h (2500 cycles) at 0.6 mA·cm-2 (0.6 mAh·cm-2); CCD = 1.3 mA·cm-2","1666.67","Cold-pressed SE pellets (370 MPa, 3 min), Li foils attached under 25 MPa; symmetric cycling at RT","[116]","42","Argyrodite","Argyrodite"
"Li5.5PS4.5Cl1.5","Half-cell (SSLB)","Li-In alloy","LiNbO3-coated NCM622","Li+","Argyrodite","Cl-rich substitution","7.8e-3 / 25","0.0078","0.23","86.4 % after 100 cycles @ 1C","86.4","100 cycles at 1C: 144.5 mAh·g-1","100.0","Catholyte (70:30:3 = NCM622:LPSCl1.5:Super P), cold-pressed with Li-In alloy anode under 70 MPa","[116]","43","Argyrodite","Argyrodite"
"Li3PS4·2LiBH4·0.5LiCl (x=0.5)","Full-cell ASSB","Li-In alloy","LiNi0.7Mn0.15Co0.15O2 (NCM)","Li+","Argyrodite (BH4-/Cl-)","Co-substitution","1.48e-2 / 25","0.0148","0.3","0.93","93.0","~300 cycles @0.5C: ~142 mAh g-1 212/178 mAh g-1 first charge/discharge @0.05C (84% CE)","300.0","Pellet pressing (312–427 MPa), composite cathode (80:19:1 NCM:SE:Super C), glovebox assembly","[117]","44","Argyrodite","Argyrodite"
"Li6.1P0.95Ga0.05S5Cl (LPSC-0.05)","Symmetric Li","Li metal","Li metal","Li+","Argyrodite","Ga3+ doping (5%)","3.9e-3 / 25","0.0039","–","","","2700 h at 0.1 mA·cm-2; stable up to 750 h at 1.0 mA·cm-2; CCD = 14.75 mA·cm-2","900.0","Pressed pellets (360 MPa), Li foils, tested in KP and coin cell config.","[118]","45","Argyrodite","Argyrodite"
"Li6.1P0.95Ga0.05S5Cl (LPSC-0.05)","Full-cell ASSLB","Li metal","NCM811","Li+","Argyrodite","Ga3+ doping (5%)","3.9e-3 / 25","0.0039","–","91 % after 200 cycles @ 0.5 C (RT)","91.0","25 cycles @0.2C, 30 °C: 168.7 → 153.9 mAh g-1","25.0","Cathode: NCM811 composite with SE; assembled in KP cells.","[118]","46","Argyrodite","Argyrodite"
"Li9.9SnP2S11.9Br0.1 (LSPSBr)","ASSLB (single-layer SE)","Li-In alloy","LiNbO3@NCM712","Li+","Sulfide","Br substitution","5.88e-3 / 25","0.00588","0.26","100 cycles: 73.1 %","100.0","100 cycles: retention 73.1%, capacity fade from 158.8 mAh/g.","100.0","Cathode mix (70:28:2 LNO@NCM712:SE:VGCF); pressed pellet 350 MPa.","[119]","47","Others","Others"
"Li9.9SnP2S10.9Br0.1O1.0 (LSPSBrO1.0)","ASSLB (single-layer SE)","Li-In alloy","LNO@NCM712","Li+","Sulfide (O-doped)","O substitution (1.0)","4.08e-3 / 25","0.00408","0.29","100 cycles: 80% retention 83.6%; at 5C: retention after 550 cycles","100.0","100 cycles: 80% retention 83.6%; at 5C: retention after 550 cycles.","100.0","Same as above.","[119]","48","Others","Others"
"Li9.9SnP2S10.9Br0.1O1.0 (LSPSBrO1.0)","ASSLB (dual-layer SE with halide)","Li-In alloy","Li3.25InCl5.75O0.25@NCM712","Li+","Sulfide/Halide dual-layer","O substitution (1.0) + halide interface","4.08e-3 / 25","0.00408","0.29","100 cycles: retention ~99.8% , 1800 cycles: 80% retention.","100.0","100 cycles: retention ~99.8% at 3.9 V; 1800 cycles at 5C: 80% retention.","100.0","Dual-layer pellet: 50 mg halide SE + 80 mg sulfide SE + cathode mix, pressed 350 MPa.","[119]","49","Halide","Halide"
"LiPSClBr vs. O-LiPSClBr","ASSB (10 mm jig)","Li-In alloy","NCM811","Li+","Argyrodite","Surface oxidation (O-gradient)","1.08e-2 (pristine), 8.15e-3 (oxidized) / 25","0.0108","–","–","","Higher initial efficiency (87.4% vs. 82.1%); stable rate capability; after 24h air, O-LiPSClBr retains superior cycling.","87.4","Cathode composite (75:22:3 NCM:SE:VGCF) pressed at ~500 MPa, SE pellet (150 mg) pressed at ~375 MPa; oxidation via KMnO4.","[120]","50","Argyrodite","Argyrodite"
"Li6.333Ge0.333As0.667S5I","Press cell (ASSB test)","In/InLi alloy","TiS2 composite cathode","Li+","Argyrodite","Ge substitution (x=0.333)","3.2e-3 / 303 K","0.0032","~0.15","0.7","70.0","40 cycles: capacity 218 → 150 mAh g-1","40.0","Cathode composite: TiS2:SE = 1:2; SE pellet pressed at 375 MPa; cycled 0.2C (47.8 mA/g), 0.78–2.08 V.","[121]","51","Argyrodite","Argyrodite"
"Li5.5AsS4.5Br1.5","ASSB (Li–S cell)","In/InLi alloy","S–MWCNT–Li5.5AsS4.5Br1.5 composite","Li+","Argyrodite","Br substitution (x=0.5)","1.54e-2 / 25","0.0154","0.257","0.64","64.0","100 cycles: 1385 → 885 mAh g-1, CE ≈ 102%","100.0","Cathode: S ball milled (600 rpm, 24 h), mixed with MWCNT (60:40), then with SE (40:60); pellet pressed at 150 MPa; cycled 0.2C, 1.62–3.32 V.","[122]","52","Argyrodite","Argyrodite"
"Li6PS5Cl (CDC, This work-1)","ASSB pellet cell","Li-In alloy","LiNbO3-coated NMC811","Li+","Argyrodite","–","3.11e-3 / 25","0.00311","0.22","0.98","98.0","50 cycles: 190 mAh g-1 (55 °C) → 172 mAh g-1 (27 °C); CE ≈ 99.9%","50.0","Cathode composite (75:22:3 = NMC811:SE:VGCF); SSE pellet pressed 350 MPa; cycled 0.1–2C.","[124]","53","Argyrodite","Argyrodite"
"Li6PS5Cl (CDC, scale-up)","ASSB pellet cell","Li-In alloy","LiNbO3-coated NMC811","Li+","Argyrodite","–","5.71e-3 / 25","0.00571","0.22","–","",">1000 cycles at 2C; capacity retention 113 mAh g-1; CE 99.99%","1000.0","Same pellet method; scale-up synthesis (9 h total); cathode ratio 85 wt% tested.","[124]","54","Argyrodite","Argyrodite"
"Li6PS5Cl (CDC film)","ASSB pouch cell (0.7 Ah)","Ag–C composite","LiNbO3-coated NMC811","Li+","Argyrodite","–","~4.0e-4 / 25 (film SSE)","0.0004","–","0.97","97.0","50 cycles: 0.696 Ah → 0.676 Ah; energy density 353–430 Wh/kg","50.0","Bi-layer pouch (80×50 mm², PTFE membrane); wet-processed SSE film; cathode loading ~6.4 mg cm-2.","[124]","55","Argyrodite","Argyrodite"
"Li3ZrCl4O1.5","ASSB (solid-state full cell)","Li–In (with Li3YCl6 interlayer)","NCM83 (LiNi0.83Co0.11Mn0.06O2)","Li+","Amorphous oxyhalide","Partial Cl → O substitution (42.9%)","1.35e-3 / 25","0.00135","0.294","0.901","90.1",">300 cycles @1C; 600 cycles @2C (96.6 mAh g-1)","300.0","Ball milling of ZrCl4 + Li2O, optimized Li/Zr ratio.","[144]","56","Amorphous","Others"
"Li3ZrCl4O1.5","ASSB (solid-state full cell)","Li–In","LiCoO2","Li+","Amorphous oxyhalide","Partial Cl → O substitution (42.9%)","1.35e-3 / 25","0.00135","0.294","0.9","90.0","240 cycles (94.7% initial CE @0.5C)","240.0","Same as above.","[144]","57","Amorphous","Others"
"50AgI–37.5Ag2O–12.5B2O3 (SISOBO)","Ag/a-SIC/I2 (solid-state cell)","Ag + a-SIC (60:40)","I2 + TMAI + graphite + a-SIC","Ag+","Amorphous SIC","–","5.0e-3 / 25","0.005","–","–","","Capacity ~4.8–6.8 mAh cm-2; Energy density ~2.0–3.1 Wh/kg","4.8","Ball milling (18 h, acetone, 600 rpm).","[149]","58","Amorphous","Others"
"50AgI–25Ag2O–25CrO3 (SISOCO)","Ag/a-SIC/I2","Ag + a-SIC (60:40)","I2 + TMAI + graphite + a-SIC","Ag+","Amorphous SIC","–","7.0e-3 / 25","0.007","–","–","","Capacity ~6.8–7.3 mAh cm-2; Energy density ~2.9–3.2 Wh/kg","6.8","Ball milling (42 h).","[149]","59","Amorphous","Others"
"50AgI–33.5Ag2O–16.5V2O5 (SISOVO)","Ag/a-SIC/I2","Ag + a-SIC (60:40)","I2 + TMAI + graphite + a-SIC","Ag+","Amorphous SIC","–","3.0e-3 / 25","0.003","–","–","","Capacity ~3.2–7.5 mAh cm-2; Energy density ~1.3–3.4 Wh/kg","3.2","Ball milling (36 h).","[149]","60","Amorphous","Others"
"50AgI–25Ag2O–25CrO3 (50SISOCO)","Ag/a-SIC/I2 (solid-state cell)","Ag + a-SIC (60:40)","I2 + TMAI + graphite + a-SIC","Ag+","Amorphous SIC","–","7.0e-3 / 27","0.007","0.21–0.27","–","","Capacity ~6.8–7.3 mAh cm-2; Energy density ~2.9–3.2 Wh/kg","6.8","Ball milling 42 h, acetone, 600 rpm.","[150]","61","Amorphous","Others"
"Li3PS4-xLiBr (x=0–1.5)","Symmetric cell","Li metal","Li metal","Li+","Amorphous glass","Br doping (x=0–1.5)","up to 1.86e-3 / 25","0.00186","0.277–0.307","–","","Critical current density: 0.38 mA/cm² (Li3PS4) → 0.85 mA/cm² (Li3PS3Br); improved dendrite resistance","0.38","Mechanical milling 42 h (500 rpm) + 180 °C heat treatment.","[151]","62","Amorphous","Amorphous"
"Na3PS4","Symmetric cell","Na metal","Na metal","Na+","Sulfide (crystalline)","–","7.5e-5 / 25","7.5e-05","0.39","–","","Short circuit","","Mechanochemical milling (Na2S + P2S5).","[153]","63","Others","Others"
"95(0.75Na2S·0.25P2S5)·5Na2SO3","Symmetric cell","Na metal","Na metal","Na+","Amorphous oxysulfide","Na2SO3 additive (5 mol%)","1.2e-5 / 25","1.2e-05","0.51","–","","Stable >300 h (0.013 mA cm-2, 60 °C)","75.0","Ball milling of Na2S, P2S5, Na2SO3 (10 h, 510 rpm, Ar).","[153]","64","Amorphous","Others"
"95(0.75Na2S·0.25P2S5)·5Na2SO4","Symmetric cell","Na metal","Na metal","Na+","Amorphous oxysulfide","Na2SO4 additive (5 mol%)","1.6e-5 / 25","1.6e-05","0.5","–","","Stable >300 h","75.0","Same mechanochemical route.","[153]","65","Amorphous","Others"
"95(0.75Na2S·0.25P2S5)·5Na3PO4","Symmetric cell","Na metal","Na metal","Na+","Amorphous oxysulfide","Na3PO4 additive (5 mol%)","1.1e-5 / 25","1.1e-05","0.5","–","","Stable >300 h","75.0","Same mechanochemical route.","[153]","66","Amorphous","Others"
"95(0.75Na2S·0.25P2S5)·5Na3PO4","Full cell","Na15Sn4 + KB","TiS2","Na+","Amorphous oxysulfide","Na3PO4 additive (5 mol%)","1.1e-5 / 25","1.1e-05","0.5","–","","10 cycles (60 °C, 1.2–2.4 V); Initial discharge 96 mAh/g, CE 84.5%","10.0","Same mechanochemical route.","[153]","67","Amorphous","Others"
"NaTaCl6 (amorphous)","ASSNIB full cell","Na15Sn4 (protected with Na3PS4 interlayer)","Na3V2(PO4)3 (NVP)","Na+","Amorphous halide","–","4.0e-3 / 25","0.004","0.30–0.41","1500 cycles @98% retenti; 600 cycles @95% retention; 4000 cycles @81% retention","","250 cycles @0.2C (CE 99.8%); 1500 cycles @0.5C (98% retention); 600 cycles @1C (95% retention); 4000 cycles @3C, 60°C (81% retention, CE 99.96%)","250.0","High-energy ball milling of NaCl + TaCl5, 40 h; amorphization process.","[154]","68","Amorphous","Halide"
